Categoria,Edad,Genero,Ingresos,Nivel_Estudios,Frec_Trans_Mes,Ocupacion,Has_Credit,Depositos,Zona,Recencia,R,F,M,R_score,F_score,M_score,Cluster
Plena,46,Femenino,4645831,Universitario,7,Estudiante,No,4685501,Urbano,1,1,7,4685501,5,2,4,1
Plena,43,Masculino,5215787,Universitario,6,Estudiante,No,5094540,Urbano,31,31,6,5094540,2,2,4,1
Intermedia,57,Masculino,1923937,Secundaria,15,Pensionado,No,1482729,Urbano,5,5,15,1482729,5,5,2,3
Basica,72,Masculino,2448993,Sin educacion,12,Ama de casa,Si,1295935,Urbano,84,84,12,1295935,1,4,2,3
Plena,38,Masculino,6883902,Tecnico,2,Estudiante,Si,7607411,Urbano,92,92,2,7607411,1,1,5,1
Intermedia,29,Femenino,5859182,Secundaria,7,Estudiante,Si,5248332,Urbano,73,73,7,5248332,1,2,4,1
Intermedia,44,Masculino,5880171,Secundaria,12,Estudiante,Si,4696329,Rural,13,13,12,4696329,4,4,4,2
Plena,76,Femenino,6010068,Tecnico,14,Estudiante,No,8215409,Urbano,1,1,14,8215409,5,4,5,2
Basica,35,Femenino,4702671,Secundaria,7,Pensionado,No,5863024,Rural,79,79,7,5863024,1,2,4,1
Intermedia,65,Femenino,6375781,Primaria,0,Ama de casa,Si,8656816,Urbano,16,16,0,8656816,3,1,5,1
Basica,65,Femenino,3936650,Sin educacion,13,Ama de casa,Si,3916899,Urbano,102,102,13,3916899,1,4,3,3
Intermedia,38,Femenino,433723,Universitario,4,Empleado,Si,273649,Rural,99,99,4,273649,1,1,1,0
Basica,52,Masculino,35765,Primaria,0,Estudiante,Si,42783,Urbano,57,57,0,42783,1,1,1,0
Basica,65,Masculino,1104726,Sin educacion,0,Estudiante,No,780018,Rural,10,10,0,780018,4,1,1,0
Basica,40,Masculino,3450323,Sin educacion,14,Empleado,No,3247546,Rural,14,14,14,3247546,4,4,3,3
Intermedia,43,Femenino,3207340,Sin educacion,11,Ama de casa,Si,1812150,Rural,57,57,11,1812150,1,3,2,0
Plena,38,Masculino,4185025,Tecnico,9,Independiente,No,5546449,Urbano,11,11,9,5546449,4,3,4,2
Intermedia,33,Masculino,6899778,Universitario,17,Independiente,Si,4318851,Urbano,5,5,17,4318851,5,5,3,2
Plena,37,Femenino,9313854,Secundaria,13,Ama de casa,Si,13068245,Urbano,24,24,13,13068245,3,4,5,2
Intermedia,30,Masculino,7091567,Secundaria,18,Estudiante,No,9674533,Urbano,82,82,18,9674533,1,5,5,2
Intermedia,45,Femenino,2448249,Tecnico,3,Independiente,Si,2361539,Urbano,35,35,3,2361539,2,1,2,0
Plena,36,Femenino,7186980,Tecnico,10,Pensionado,No,8943249,Urbano,25,25,10,8943249,3,3,5,1
Intermedia,48,Masculino,2118739,Universitario,2,Pensionado,Si,2371812,Urbano,3,3,2,2371812,5,1,2,0
Plena,26,Femenino,1982342,Universitario,9,Empleado,No,2583142,Urbano,28,28,9,2583142,2,3,2,0
Basica,49,Femenino,960089,Sin educacion,9,Ama de casa,Si,894616,Urbano,138,138,9,894616,1,3,1,0
Plena,55,Masculino,3557919,Universitario,13,Ama de casa,No,4574802,Urbano,4,4,13,4574802,5,4,4,2
Basica,21,Masculino,2235780,Primaria,10,Independiente,Si,2151842,Rural,21,21,10,2151842,3,3,2,0
Plena,49,Femenino,8641871,Universitario,13,Estudiante,Si,12452640,Urbano,62,62,13,12452640,1,4,5,2
Intermedia,60,Femenino,935151,Secundaria,14,Ama de casa,No,922407,Urbano,40,40,14,922407,2,5,1,3
Plena,30,Femenino,7643229,Universitario,21,Independiente,Si,7357520,Urbano,35,35,21,7357520,2,5,5,2
Basica,65,Masculino,2763566,Secundaria,8,Independiente,No,3551381,Rural,36,36,8,3551381,2,2,3,0
Intermedia,50,Femenino,2245974,Primaria,5,Ama de casa,No,2968229,Urbano,13,13,5,2968229,4,1,3,0
Plena,37,Femenino,5125324,Tecnico,11,Independiente,Si,5404598,Urbano,10,10,11,5404598,4,3,4,2
Intermedia,44,Masculino,2339548,Universitario,6,Empleado,Si,1590420,Urbano,49,49,6,1590420,1,2,2,0
Intermedia,52,Femenino,4649439,Universitario,17,Empleado,Si,4499533,Urbano,49,49,17,4499533,1,5,4,2
Plena,46,Femenino,4511977,Primaria,9,Ama de casa,Si,6623909,Rural,60,60,9,6623909,1,3,4,1
Intermedia,51,Femenino,1282363,Tecnico,7,Estudiante,No,1606783,Urbano,73,73,7,1606783,1,2,2,0
Intermedia,34,Masculino,909348,Secundaria,8,Empleado,Si,1192303,Urbano,21,21,8,1192303,3,2,1,0
Intermedia,47,Femenino,4264226,Sin educacion,14,Empleado,Si,2272088,Urbano,20,20,14,2272088,3,5,2,3
Plena,28,Femenino,9385096,Tecnico,9,Ama de casa,Si,9083454,Urbano,48,48,9,9083454,2,3,5,1
Basica,44,Masculino,1788580,Primaria,7,Pensionado,No,2050824,Urbano,31,31,7,2050824,2,2,2,0
Intermedia,34,Femenino,5717401,Universitario,18,Independiente,Si,7604330,Rural,36,36,18,7604330,2,5,5,2
Plena,36,Femenino,6850078,Secundaria,6,Empleado,No,3762567,Urbano,47,47,6,3762567,2,2,3,1
Plena,60,Masculino,9688171,Universitario,10,Pensionado,Si,13102659,Urbano,66,66,10,13102659,1,3,5,1
Intermedia,58,Femenino,6403652,Sin educacion,13,Estudiante,No,6713595,Rural,12,12,13,6713595,4,4,4,2
Intermedia,52,Femenino,4419521,Secundaria,2,Pensionado,Si,3081794,Rural,14,14,2,3081794,4,1,3,0
Intermedia,32,Femenino,5124838,Primaria,12,Ama de casa,Si,4188301,Urbano,2,2,12,4188301,5,4,3,2
Basica,41,Femenino,4671610,Primaria,5,Estudiante,No,3652870,Urbano,25,25,5,3652870,3,1,3,0
Intermedia,60,Femenino,3116247,Sin educacion,14,Estudiante,Si,3212411,Rural,1,1,14,3212411,5,5,3,3
Intermedia,47,Masculino,2548999,Primaria,5,Pensionado,Si,1406246,Urbano,18,18,5,1406246,3,1,2,0
Intermedia,73,Masculino,84326,Secundaria,13,Ama de casa,Si,55532,Urbano,23,23,13,55532,3,4,1,3
Basica,50,Masculino,4298066,Primaria,16,Empleado,No,5642041,Rural,10,10,16,5642041,4,5,4,2
Plena,47,Masculino,8330199,Tecnico,14,Pensionado,Si,5269717,Urbano,26,26,14,5269717,3,5,4,2
Plena,41,Femenino,1086327,Tecnico,11,Empleado,No,796708,Urbano,1,1,11,796708,5,3,1,3
Plena,47,Masculino,5999317,Universitario,9,Pensionado,No,5719572,Urbano,1,1,9,5719572,5,3,4,1
Intermedia,43,Femenino,3619057,Universitario,7,Empleado,No,3681018,Rural,51,51,7,3681018,1,2,3,0
Intermedia,53,Masculino,925931,Secundaria,17,Pensionado,Si,1170016,Urbano,13,13,17,1170016,4,5,1,3
Plena,56,Masculino,10197910,Secundaria,7,Estudiante,No,9660811,Urbano,4,4,7,9660811,5,2,5,1
Plena,36,Masculino,2232837,Primaria,5,Independiente,No,2880057,Urbano,22,22,5,2880057,3,1,3,0
Basica,29,Masculino,349618,Universitario,13,Estudiante,Si,390994,Urbano,44,44,13,390994,2,4,1,3
Plena,23,Masculino,6186413,Primaria,6,Empleado,No,3792888,Urbano,7,7,6,3792888,4,2,3,1
Plena,51,Femenino,7684213,Secundaria,5,Ama de casa,No,5043391,Urbano,29,29,5,5043391,2,1,4,1
Plena,32,Femenino,337412,Secundaria,3,Estudiante,Si,316166,Urbano,2,2,3,316166,5,1,1,0
Plena,19,Masculino,6850663,Secundaria,8,Independiente,Si,6144287,Rural,1,1,8,6144287,5,2,4,1
Intermedia,50,Femenino,4151877,Primaria,10,Empleado,No,5163043,Urbano,22,22,10,5163043,3,3,4,2
Intermedia,75,Masculino,805467,Tecnico,11,Estudiante,Si,870498,Rural,23,23,11,870498,3,3,1,3
Plena,45,Masculino,1794248,Primaria,15,Pensionado,Si,1593531,Urbano,30,30,15,1593531,2,5,2,3
Plena,55,Femenino,5906933,Tecnico,13,Ama de casa,Si,3962136,Urbano,38,38,13,3962136,2,4,3,2
Basica,46,Masculino,1541060,Sin educacion,9,Empleado,No,1120100,Rural,111,111,9,1120100,1,3,1,0
Basica,44,Masculino,4879242,Sin educacion,9,Estudiante,No,5247630,Urbano,21,21,9,5247630,3,3,4,2
Intermedia,56,Masculino,6386174,Universitario,13,Empleado,Si,5897241,Rural,11,11,13,5897241,4,4,4,2
Plena,42,Masculino,10229099,Secundaria,16,Pensionado,No,10381794,Rural,47,47,16,10381794,2,5,5,2
Plena,48,Femenino,2700577,Universitario,11,Independiente,Si,1811216,Urbano,9,9,11,1811216,4,3,2,3
Basica,49,Masculino,5042563,Secundaria,8,Estudiante,Si,5864028,Rural,17,17,8,5864028,3,2,4,1
Intermedia,37,Masculino,3363624,Sin educacion,5,Empleado,Si,4549432,Urbano,2,2,5,4549432,5,1,4,0
Intermedia,57,Femenino,2710647,Universitario,3,Empleado,Si,2054506,Urbano,1,1,3,2054506,5,1,2,0
Plena,43,Femenino,523635,Secundaria,13,Empleado,Si,519192,Urbano,98,98,13,519192,1,4,1,3
Plena,36,Masculino,548759,Universitario,13,Independiente,No,809709,Urbano,54,54,13,809709,1,4,1,3
Plena,51,Femenino,7196917,Secundaria,13,Empleado,No,5996772,Urbano,35,35,13,5996772,2,4,4,2
Intermedia,34,Masculino,3571846,Universitario,9,Ama de casa,No,3911337,Urbano,15,15,9,3911337,3,3,3,0
Intermedia,45,Masculino,1766869,Sin educacion,17,Ama de casa,No,1042798,Urbano,5,5,17,1042798,5,5,1,3
Intermedia,45,Femenino,4788968,Secundaria,8,Empleado,Si,5296670,Urbano,5,5,8,5296670,5,2,4,1
Basica,58,Masculino,1314862,Secundaria,15,Ama de casa,Si,775284,Urbano,8,8,15,775284,4,5,1,3
Plena,51,Masculino,6007370,Universitario,10,Estudiante,No,8766167,Urbano,23,23,10,8766167,3,3,5,1
Plena,45,Femenino,3735771,Universitario,7,Ama de casa,No,4541437,Urbano,37,37,7,4541437,2,2,4,1
Plena,55,Femenino,8564943,Universitario,13,Empleado,Si,11033015,Urbano,32,32,13,11033015,2,4,5,2
Plena,62,Femenino,8535240,Universitario,12,Pensionado,Si,10277320,Rural,9,9,12,10277320,4,4,5,2
Intermedia,52,Femenino,3723333,Primaria,12,Estudiante,Si,4057424,Rural,92,92,12,4057424,1,4,3,2
Plena,45,Masculino,3648519,Secundaria,10,Independiente,No,3465775,Urbano,40,40,10,3465775,2,3,3,0
Plena,29,Femenino,3770622,Secundaria,10,Empleado,Si,5121913,Urbano,24,24,10,5121913,3,3,4,2
Plena,32,Masculino,8379431,Tecnico,22,Independiente,Si,12207454,Rural,28,28,22,12207454,2,5,5,2
Intermedia,41,Femenino,2559800,Secundaria,16,Pensionado,No,2557333,Urbano,16,16,16,2557333,3,5,2,3
Intermedia,38,Femenino,1630663,Secundaria,14,Independiente,No,2334351,Rural,8,8,14,2334351,4,5,2,3
Basica,43,Masculino,440379,Sin educacion,11,Empleado,No,477077,Rural,13,13,11,477077,4,3,1,3
Plena,46,Masculino,4853608,Universitario,15,Empleado,Si,5039910,Urbano,42,42,15,5039910,2,5,4,2
Intermedia,51,Femenino,3760630,Primaria,13,Pensionado,Si,3380580,Urbano,1,1,13,3380580,5,4,3,3
Intermedia,44,Masculino,6559088,Secundaria,10,Empleado,No,4652281,Urbano,3,3,10,4652281,5,3,4,2
Plena,51,Femenino,2300882,Tecnico,8,Pensionado,Si,1159000,Urbano,1,1,8,1159000,5,2,1,0
Intermedia,46,Femenino,2971732,Tecnico,10,Pensionado,Si,2203558,Urbano,1,1,10,2203558,5,3,2,3
Intermedia,21,Masculino,6305565,Tecnico,0,Empleado,Si,6366875,Rural,58,58,0,6366875,1,1,4,1
Basica,34,Femenino,4282843,Secundaria,11,Ama de casa,No,3768730,Rural,36,36,11,3768730,2,3,3,2
Plena,43,Femenino,3999955,Secundaria,8,Pensionado,No,3793898,Urbano,19,19,8,3793898,3,2,3,0
Intermedia,30,Masculino,3581167,Secundaria,18,Empleado,Si,5302449,Urbano,3,3,18,5302449,5,5,4,2
Plena,52,Masculino,3154173,Primaria,10,Ama de casa,Si,2681906,Urbano,20,20,10,2681906,3,3,2,3
Intermedia,63,Masculino,7273928,Secundaria,4,Pensionado,Si,6926110,Rural,19,19,4,6926110,3,1,5,1
Plena,60,Femenino,1233895,Tecnico,10,Ama de casa,Si,781692,Urbano,5,5,10,781692,5,3,1,3
Intermedia,42,Masculino,7283245,Sin educacion,5,Estudiante,No,3990910,Rural,17,17,5,3990910,3,1,3,1
Intermedia,63,Femenino,5334158,Primaria,12,Estudiante,No,6803236,Urbano,15,15,12,6803236,3,4,5,2
Plena,47,Femenino,5528350,Universitario,11,Ama de casa,Si,5919111,Urbano,28,28,11,5919111,2,3,4,2
Intermedia,41,Masculino,254741,Universitario,15,Pensionado,Si,321153,Urbano,30,30,15,321153,2,5,1,3
Basica,38,Femenino,2473100,Primaria,6,Empleado,No,1607176,Rural,1,1,6,1607176,5,2,2,0
Basica,41,Masculino,2120290,Sin educacion,10,Independiente,Si,2272588,Urbano,14,14,10,2272588,4,3,2,3
Plena,40,Masculino,1676676,Secundaria,3,Empleado,No,1263614,Urbano,29,29,3,1263614,2,1,1,0
Intermedia,47,Femenino,5119995,Secundaria,14,Independiente,Si,3727673,Urbano,20,20,14,3727673,3,5,3,2
Plena,47,Masculino,10099969,Universitario,13,Independiente,No,5166397,Urbano,58,58,13,5166397,1,4,4,2
Intermedia,45,Femenino,4385073,Primaria,12,Pensionado,Si,2764090,Urbano,32,32,12,2764090,2,4,2,3
Basica,50,Masculino,3716717,Secundaria,10,Ama de casa,Si,3007821,Urbano,5,5,10,3007821,5,3,3,3
Basica,59,Femenino,355942,Sin educacion,12,Empleado,No,219573,Rural,2,2,12,219573,5,4,1,3
Intermedia,56,Masculino,3257803,Universitario,18,Ama de casa,No,4840634,Urbano,30,30,18,4840634,2,5,4,2
Intermedia,27,Femenino,907596,Secundaria,9,Estudiante,Si,733912,Urbano,1,1,9,733912,5,3,1,3
Intermedia,18,Femenino,4779808,Tecnico,11,Pensionado,Si,3012827,Urbano,26,26,11,3012827,3,3,3,2
Intermedia,56,Masculino,7320161,Secundaria,5,Pensionado,No,5117395,Urbano,84,84,5,5117395,1,1,4,1
Plena,29,Femenino,6882488,Tecnico,6,Estudiante,No,7486104,Urbano,25,25,6,7486104,3,2,5,1
Intermedia,42,Femenino,599064,Primaria,10,Empleado,Si,337898,Urbano,14,14,10,337898,4,3,1,3
Intermedia,31,Femenino,2766396,Primaria,16,Estudiante,Si,3769032,Rural,30,30,16,3769032,2,5,3,2
Plena,23,Femenino,5726899,Universitario,9,Empleado,No,8369861,Urbano,18,18,9,8369861,3,3,5,2
Intermedia,51,Femenino,3145020,Universitario,9,Independiente,No,2348536,Rural,23,23,9,2348536,3,3,2,3
Intermedia,54,Femenino,6502423,Universitario,8,Pensionado,No,6177921,Urbano,85,85,8,6177921,1,2,4,1
Plena,38,Masculino,8472578,Tecnico,7,Empleado,No,4423825,Urbano,14,14,7,4423825,4,2,3,1
Plena,18,Femenino,6363043,Universitario,11,Ama de casa,No,7258388,Rural,97,97,11,7258388,1,3,5,2
Basica,38,Masculino,1941981,Sin educacion,3,Ama de casa,Si,1774827,Urbano,70,70,3,1774827,1,1,2,0
Plena,50,Masculino,2655498,Secundaria,16,Pensionado,Si,2044889,Urbano,6,6,16,2044889,4,5,2,3
Intermedia,27,Femenino,3841776,Sin educacion,11,Pensionado,No,3410592,Rural,2,2,11,3410592,5,3,3,3
Intermedia,47,Masculino,2768202,Tecnico,14,Estudiante,Si,3194569,Rural,3,3,14,3194569,5,5,3,3
Intermedia,45,Femenino,3222746,Secundaria,4,Empleado,Si,2952735,Urbano,1,1,4,2952735,5,1,3,0
Plena,52,Masculino,7028558,Primaria,13,Estudiante,No,4777025,Urbano,2,2,13,4777025,5,4,4,2
Intermedia,46,Femenino,5133647,Secundaria,13,Pensionado,Si,6104466,Rural,34,34,13,6104466,2,4,4,2
Intermedia,33,Femenino,546843,Universitario,12,Empleado,Si,582427,Urbano,2,2,12,582427,5,4,1,3
Intermedia,59,Masculino,3083023,Secundaria,5,Independiente,Si,4188817,Urbano,11,11,5,4188817,4,1,3,0
Intermedia,43,Masculino,1417875,Primaria,11,Estudiante,No,875504,Urbano,55,55,11,875504,1,3,1,3
Basica,45,Femenino,2873844,Primaria,5,Estudiante,Si,3270701,Rural,1,1,5,3270701,5,1,3,0
Basica,54,Femenino,1935301,Primaria,7,Empleado,Si,1525312,Rural,50,50,7,1525312,1,2,2,0
Plena,46,Femenino,6881340,Secundaria,8,Independiente,No,5064721,Urbano,9,9,8,5064721,4,2,4,1
Plena,54,Masculino,1468725,Secundaria,14,Ama de casa,Si,1807288,Urbano,3,3,14,1807288,5,5,2,3
Plena,44,Femenino,5937125,Universitario,18,Empleado,No,3207978,Urbano,35,35,18,3207978,2,5,3,2
Intermedia,46,Masculino,1445109,Universitario,6,Estudiante,Si,859505,Rural,29,29,6,859505,2,2,1,0
Basica,21,Femenino,1448944,Primaria,15,Estudiante,No,734308,Rural,62,62,15,734308,1,5,1,3
Basica,56,Femenino,1137291,Secundaria,0,Independiente,Si,742586,Rural,39,39,0,742586,2,1,1,0
Intermedia,49,Femenino,1426135,Universitario,4,Empleado,No,811457,Rural,48,48,4,811457,2,1,1,0
Intermedia,57,Femenino,6440545,Universitario,5,Pensionado,No,9633782,Urbano,9,9,5,9633782,4,1,5,1
Plena,18,Femenino,2971359,Secundaria,3,Empleado,No,2343838,Urbano,5,5,3,2343838,5,1,2,0
Plena,70,Masculino,9642087,Universitario,2,Estudiante,No,6260299,Urbano,41,41,2,6260299,2,1,4,1
Intermedia,43,Femenino,7565427,Secundaria,12,Independiente,Si,5605953,Urbano,49,49,12,5605953,1,4,4,2
Plena,58,Masculino,5941109,Secundaria,9,Independiente,Si,8532179,Rural,139,139,9,8532179,1,3,5,1
Plena,33,Femenino,1487212,Primaria,12,Pensionado,No,1517195,Urbano,15,15,12,1517195,3,4,2,3
Intermedia,52,Femenino,2921476,Secundaria,13,Independiente,Si,2526545,Urbano,13,13,13,2526545,4,4,2,3
Intermedia,32,Masculino,6222312,Primaria,11,Independiente,No,8545670,Urbano,44,44,11,8545670,2,3,5,2
Intermedia,38,Femenino,2865648,Primaria,13,Independiente,No,2564727,Rural,12,12,13,2564727,4,4,2,3
Intermedia,68,Femenino,678734,Secundaria,10,Independiente,Si,566749,Urbano,80,80,10,566749,1,3,1,3
Intermedia,43,Femenino,4655903,Universitario,4,Independiente,Si,4894832,Urbano,58,58,4,4894832,1,1,4,1
Plena,48,Masculino,8789257,Universitario,15,Estudiante,No,7715182,Urbano,16,16,15,7715182,3,5,5,2
Basica,55,Masculino,4138817,Primaria,7,Empleado,Si,3380107,Rural,41,41,7,3380107,2,2,3,0
Basica,51,Femenino,910640,Tecnico,5,Ama de casa,No,1072100,Urbano,42,42,5,1072100,2,1,1,0
Basica,47,Masculino,3498376,Tecnico,9,Independiente,Si,2762257,Urbano,3,3,9,2762257,5,3,2,3
Basica,49,Masculino,1146622,Secundaria,5,Ama de casa,Si,1235141,Rural,69,69,5,1235141,1,1,1,0
Plena,74,Femenino,2269358,Primaria,8,Ama de casa,Si,1284212,Urbano,21,21,8,1284212,3,2,2,0
Plena,44,Masculino,9090346,Universitario,12,Estudiante,Si,6284058,Urbano,52,52,12,6284058,1,4,4,2
Intermedia,47,Femenino,1947418,Universitario,12,Independiente,Si,1767097,Urbano,11,11,12,1767097,4,4,2,3
Basica,58,Masculino,1368886,Secundaria,6,Ama de casa,No,1967020,Rural,67,67,6,1967020,1,2,2,0
Intermedia,58,Femenino,5096,Secundaria,8,Independiente,Si,4470,Urbano,14,14,8,4470,4,2,1,0
Intermedia,59,Masculino,6791218,Secundaria,15,Pensionado,Si,7905481,Urbano,1,1,15,7905481,5,5,5,2
Basica,53,Femenino,4121493,Secundaria,12,Pensionado,No,3112087,Rural,70,70,12,3112087,1,4,3,2
Intermedia,31,Femenino,4893166,Secundaria,20,Pensionado,No,3068179,Urbano,2,2,20,3068179,5,5,3,2
Intermedia,65,Masculino,5852073,Primaria,16,Ama de casa,No,3268597,Urbano,11,11,16,3268597,4,5,3,3
Intermedia,31,Masculino,1185979,Secundaria,16,Pensionado,Si,955203,Urbano,89,89,16,955203,1,5,1,3
Intermedia,49,Femenino,3574924,Universitario,3,Estudiante,Si,2351088,Urbano,90,90,3,2351088,1,1,2,0
Basica,36,Femenino,1826341,Tecnico,14,Estudiante,No,1230973,Urbano,25,25,14,1230973,3,5,1,3
Intermedia,44,Masculino,731457,Primaria,10,Ama de casa,No,922191,Urbano,29,29,10,922191,2,3,1,3
Intermedia,49,Masculino,3791818,Universitario,7,Independiente,No,1955964,Rural,17,17,7,1955964,3,2,2,0
Intermedia,49,Masculino,7181769,Secundaria,11,Empleado,No,7596948,Urbano,10,10,11,7596948,4,3,5,1
Plena,50,Masculino,416615,Universitario,15,Independiente,Si,366397,Rural,11,11,15,366397,4,5,1,3
Plena,64,Masculino,3031194,Universitario,13,Independiente,Si,3051048,Urbano,33,33,13,3051048,2,4,3,3
Basica,50,Masculino,1079213,Tecnico,6,Independiente,Si,1147020,Rural,41,41,6,1147020,2,2,1,0
Basica,42,Femenino,1238363,Universitario,14,Independiente,Si,1007244,Urbano,47,47,14,1007244,2,5,1,3
Intermedia,57,Masculino,7085790,Secundaria,7,Empleado,Si,5633974,Urbano,46,46,7,5633974,2,2,4,1
Basica,59,Masculino,2433959,Tecnico,11,Pensionado,No,3002050,Rural,2,2,11,3002050,5,3,3,3
Intermedia,30,Masculino,3637135,Primaria,8,Independiente,Si,4987520,Rural,20,20,8,4987520,3,2,4,1
Plena,52,Femenino,7909987,Universitario,9,Estudiante,No,5478312,Urbano,1,1,9,5478312,5,3,4,1
Intermedia,53,Femenino,1205039,Tecnico,14,Ama de casa,No,720154,Urbano,23,23,14,720154,3,5,1,3
Intermedia,41,Masculino,3800670,Tecnico,5,Ama de casa,No,5312561,Rural,17,17,5,5312561,3,1,4,1
Intermedia,62,Femenino,3353885,Primaria,20,Estudiante,Si,2850452,Urbano,65,65,20,2850452,1,5,3,3
Intermedia,43,Femenino,4655903,Universitario,1,Independiente,No,4894832,Urbano,12,12,1,4894832,4,1,4,1
Intermedia,47,Femenino,7796550,Primaria,7,Empleado,Si,6701471,Urbano,3,3,7,6701471,5,2,4,1
Plena,43,Femenino,8002268,Primaria,12,Pensionado,No,5007838,Urbano,4,4,12,5007838,5,4,4,2
Intermedia,45,Femenino,3103352,Tecnico,13,Ama de casa,Si,3380580,Urbano,43,43,13,3380580,2,4,3,3
Plena,32,Femenino,8606552,Tecnico,9,Pensionado,No,8822928,Urbano,28,28,9,8822928,2,3,5,1
Plena,28,Femenino,1775367,Universitario,10,Empleado,Si,1248072,Urbano,3,3,10,1248072,5,3,1,3
Basica,64,Masculino,158411,Primaria,12,Ama de casa,No,150787,Rural,2,2,12,150787,5,4,1,3
Basica,35,Femenino,1063132,Sin educacion,9,Pensionado,No,1378826,Urbano,36,36,9,1378826,2,3,2,0
Basica,33,Masculino,1770140,Tecnico,17,Empleado,No,1930207,Rural,2,2,17,1930207,5,5,2,3
Basica,19,Masculino,2655020,Secundaria,14,Pensionado,No,1584827,Urbano,51,51,14,1584827,1,5,2,3
Basica,37,Femenino,3198672,Sin educacion,14,Independiente,Si,3352277,Rural,36,36,14,3352277,2,5,3,2
Plena,29,Masculino,9470299,Universitario,5,Empleado,Si,11390291,Rural,2,2,5,11390291,5,1,5,1
Basica,65,Femenino,2651241,Secundaria,10,Pensionado,Si,3427268,Rural,2,2,10,3427268,5,3,3,3
Intermedia,57,Masculino,3909950,Tecnico,8,Independiente,No,4414793,Urbano,129,129,8,4414793,1,2,3,0
Plena,37,Femenino,522527,Tecnico,5,Independiente,No,341032,Urbano,14,14,5,341032,4,1,1,0
Basica,72,Masculino,181540,Tecnico,12,Empleado,No,219695,Rural,13,13,12,219695,4,4,1,3
Plena,57,Masculino,5732064,Universitario,7,Estudiante,No,6748599,Urbano,50,50,7,6748599,1,2,4,1
Intermedia,41,Femenino,3417793,Tecnico,13,Ama de casa,No,1792383,Urbano,88,88,13,1792383,1,4,2,3
Basica,18,Femenino,4363738,Sin educacion,5,Empleado,No,3978628,Urbano,128,128,5,3978628,1,1,3,0
Plena,72,Masculino,1671068,Universitario,19,Independiente,Si,1391917,Urbano,41,41,19,1391917,2,5,2,3
Intermedia,28,Masculino,194779,Tecnico,6,Independiente,Si,227777,Urbano,14,14,6,227777,4,2,1,0
Plena,25,Femenino,4670003,Universitario,11,Empleado,Si,3344356,Urbano,2,2,11,3344356,5,3,3,2
Plena,57,Femenino,2469777,Tecnico,14,Estudiante,Si,2694210,Urbano,45,45,14,2694210,2,5,2,3
Plena,74,Femenino,515989,Universitario,7,Ama de casa,Si,729199,Urbano,24,24,7,729199,3,2,1,0
Intermedia,62,Masculino,5651867,Tecnico,14,Pensionado,Si,7335006,Urbano,16,16,14,7335006,3,5,5,2
Basica,52,Femenino,580284,Sin educacion,4,Empleado,Si,824849,Rural,71,71,4,824849,1,1,1,0
Plena,52,Masculino,6326523,Tecnico,17,Ama de casa,Si,9353802,Urbano,3,3,17,9353802,5,5,5,2
Plena,55,Femenino,2922917,Universitario,10,Ama de casa,No,1492646,Urbano,20,20,10,1492646,3,3,2,3
Plena,54,Femenino,1804359,Sin educacion,7,Independiente,No,2025828,Urbano,1,1,7,2025828,5,2,2,0
Intermedia,48,Femenino,2962062,Universitario,9,Pensionado,No,2703887,Urbano,18,18,9,2703887,3,3,2,3
Intermedia,46,Femenino,6251277,Tecnico,14,Empleado,No,8500827,Urbano,1,1,14,8500827,5,5,5,2
Plena,44,Femenino,4077773,Tecnico,7,Independiente,No,3065730,Urbano,3,3,7,3065730,5,2,3,0
Intermedia,36,Masculino,5856003,Primaria,6,Independiente,No,8672913,Rural,3,3,6,8672913,5,2,5,1
Plena,42,Masculino,1305057,Secundaria,9,Estudiante,No,1453452,Urbano,31,31,9,1453452,2,3,2,0
Plena,25,Femenino,8036823,Universitario,4,Ama de casa,Si,10395931,Urbano,41,41,4,10395931,2,1,5,1
Intermedia,44,Femenino,1848080,Primaria,19,Empleado,Si,1082235,Urbano,26,26,19,1082235,3,5,1,3
Plena,33,Femenino,7044889,Universitario,7,Empleado,No,4814885,Urbano,98,98,7,4814885,1,2,4,1
Plena,32,Femenino,5884128,Tecnico,14,Empleado,Si,7404608,Urbano,14,14,14,7404608,4,5,5,2
Basica,47,Femenino,4831553,Sin educacion,11,Independiente,Si,2522006,Rural,10,10,11,2522006,4,3,2,3
Plena,62,Femenino,4028154,Sin educacion,5,Estudiante,Si,5304587,Urbano,60,60,5,5304587,1,1,4,1
Intermedia,56,Femenino,516088,Secundaria,10,Pensionado,Si,265243,Rural,7,7,10,265243,4,3,1,3
Plena,26,Femenino,199217,Universitario,14,Independiente,Si,230518,Urbano,99,99,14,230518,1,5,1,3
Intermedia,33,Femenino,6449497,Secundaria,9,Pensionado,No,5579421,Rural,1,1,9,5579421,5,3,4,2
Plena,56,Masculino,5457251,Tecnico,16,Estudiante,Si,6065706,Urbano,105,105,16,6065706,1,5,4,2
Intermedia,33,Femenino,6046904,Secundaria,15,Ama de casa,No,7232287,Rural,1,1,15,7232287,5,5,5,2
Basica,42,Femenino,1219013,Secundaria,15,Empleado,No,1026988,Rural,66,66,15,1026988,1,5,1,3
Plena,52,Masculino,7035431,Universitario,9,Pensionado,No,8573403,Urbano,22,22,9,8573403,3,3,5,1
Intermedia,46,Femenino,4635086,Secundaria,5,Empleado,No,3308231,Rural,148,148,5,3308231,1,1,3,0
